# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cpu/cycles/P'
# Event count (approx.): 2174006282803
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    99.87%    99.17%  msfw     msfw                  [.] evaluate_packet
            |          
             --99.85%--evaluate_packet
                       |          
                        --0.52%--0xffffffffaaa00f0b

     0.52%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00f0b
            |          
             --0.52%--0xffffffffaaa00f0b

     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21f1d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21f24
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0230b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7ba4
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac065df0
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac094e95
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac07fde4
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe62750
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf4e70
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec6d69
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01adf
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac094e91
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe62582
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6ba3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9ba2
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae01ad8
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae2198a
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaee0930
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c09b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe6242d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe6232a
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadf4e6c
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec7c41
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaee6e9d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac065df3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0102b
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab0a8488
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa015e2
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21ae1
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02625
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c48
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaef2142
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee6ea6
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae93754
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac08b1b7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaacfb273
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaf0d3a5
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaacfb271
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21983
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae02880
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab0a848b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaf0d3a9
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae01b0d
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae23d2b
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0261e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02888
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac07f838
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe620ac
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9035
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec9030
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeb6e9
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac07f830
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef018
