# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cpu/cycles/P'
# Event count (approx.): 23326754558
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    95.11%    94.21%  msfw     msfw                  [.] evaluate_packet
            |          
             --94.88%--evaluate_packet

     4.34%     4.11%  msfw     msfw                  [.] parse_packet
            |          
             --4.11%--parse_packet
                       |          
                        --0.65%--memcpy (inlined)

     1.42%     0.95%  msfw     msfw                  [.] main
            |          
             --1.01%--main

     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffc0c03ffd
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffc0d25eed
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabafb4f7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabafb416
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabafb1f0
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabaf8c76
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabad873e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabad85bd
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae3a9da
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf265d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae027e9
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae01a5a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01af4
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01a5e
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaeb030d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeb030f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad5191f
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaeb02b4
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeb02b5
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac080ddc
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffac080ddf
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadf52db
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf52dd
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae21ae1
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21ae3
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaee6378
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b36
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee637a
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadef011
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef018
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffac0655ca
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaedd218
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaedd224
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0c109
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c110
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaad990c7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad99279
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaad990cc
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaee6f3d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee6f3f
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae26c68
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae26c69
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaec9053
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9bb5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9057
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffab469690
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe627d3
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe62750
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe62582
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe6242d
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe6232a
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabe620ac
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffabea6d56
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffab469695
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0123b
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae242c5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae242c6
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaac946a5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaac946ad
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaaee4375
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec491b
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee62c7
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee437f
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae26c39
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae96ce5
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae96cec
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae01b38
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01b3a
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0261e
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02625
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa011e7
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaafee5a1
